user,time slot,region,ground truth,sensing traffic,prediction,noise(pp),with accident
13,99,21,110.0,110.0,110.0,0.0,0.0
13,45,29,10.0,10.0,9.0,0.0,0.0
14,17,2,90.0,90.0,84.0,0.0,0.0
14,71,15,25.0,25.0,55.0,0.0,0.0
14,85,27,37.0,37.0,42.0,0.0,0.0
14,38,21,78.0,78.0,102.0,0.0,0.0
14,45,7,254.0,254.0,259.0,0.0,0.0
14,80,7,13.0,13.0,16.0,0.0,0.0
14,60,11,66.0,66.0,72.0,0.0,0.0
14,95,22,116.0,116.0,97.0,0.0,0.0
14,53,30,80.0,80.0,80.0,0.0,0.0
14,27,17,0.0,0.0,0.0,0.0,0.0
14,61,6,241.0,241.0,228.0,0.0,0.0
14,62,7,177.0,177.0,216.0,0.0,0.0
14,88,18,117.0,117.0,124.0,0.0,0.0
14,64,28,10.0,10.0,12.0,0.0,0.0
14,40,11,59.0,59.0,63.0,0.0,0.0
14,63,19,48.0,48.0,57.0,0.0,0.0
14,83,17,0.0,0.0,1.0,0.0,0.0
14,7,9,360.0,360.0,386.0,0.0,0.0
14,56,29,2.0,2.0,6.0,0.0,1.0
14,116,14,42.0,42.0,44.0,0.0,0.0
14,18,21,158.0,158.0,180.0,0.0,0.0
14,112,9,154.0,154.0,164.0,0.0,0.0
14,104,25,37.0,37.0,33.0,0.0,0.0
14,6,18,218.0,218.0,228.0,0.0,0.0
14,79,0,13.0,13.0,8.0,0.0,0.0
14,110,27,47.0,47.0,48.0,0.0,0.0
14,3,9,378.0,378.0,385.0,0.0,0.0
14,115,28,5.0,5.0,9.0,0.0,0.0
14,113,11,43.0,43.0,46.0,0.0,0.0
14,50,17,0.0,0.0,1.0,0.0,0.0
15,56,9,340.0,340.0,281.0,0.0,0.0
15,44,26,159.0,159.0,147.0,0.0,0.0
15,101,0,41.0,41.0,37.0,0.0,0.0
15,49,22,138.0,138.0,156.0,0.0,0.0
15,54,31,2.0,2.0,1.0,0.0,0.0
15,103,16,53.0,53.0,44.0,0.0,0.0
15,62,10,190.0,190.0,214.0,0.0,0.0
15,116,4,50.0,50.0,41.0,0.0,0.0
15,93,30,32.0,32.0,43.0,0.0,0.0
15,28,24,11.0,11.0,16.0,0.0,0.0
15,117,20,151.0,151.0,141.0,0.0,0.0
15,25,31,1.0,1.0,0.0,0.0,0.0
15,119,3,5.0,5.0,29.0,0.0,0.0
15,26,19,16.0,16.0,14.0,0.0,0.0
15,75,8,50.0,50.0,46.0,0.0,0.0
15,90,24,90.0,90.0,95.0,0.0,0.0
15,6,27,100.0,100.0,94.0,0.0,0.0
15,112,29,6.0,6.0,3.0,0.0,0.0
15,4,27,102.0,102.0,87.0,0.0,0.0
15,29,14,11.0,11.0,14.0,0.0,0.0
